INDEX,CHANNEL,SAMPLE,Cell_ID,StoreTypeChannel,NielsenArea,StoreType
CERVEZAS,MONT,20000211,10003691,Consumo Local,5:eje_cafetero,15:restaurante
CERVEZAS,MONT,20000211,10003794,Consumo Local,6:centro,15:restaurante
CERVEZAS,MONT,20000211,10003796,Consumo Local,7:llanos,15:restaurante
CERVEZAS,MONT,20000211,10003801,Consumo Local,8:pacifico,15:restaurante
CERVEZAS,MONT,20000211,10003685,Consumo Local,4:cundi_boy,15:restaurante
CERVEZAS,MONT,20000211,10003491,Consumo Local,1:atlantico,15:restaurante
CERVEZAS,MONT,20000211,10003520,Consumo Local,2:antioquia_choco,15:restaurante
CERVEZAS,MONT,20000211,10003790,Consumo Local,5:eje_cafetero,15:restaurante
CERVEZAS,MONT,20000211,10003688,Consumo Local,4:cundi_boy,15:restaurante
CERVEZAS,MONT,20000211,10003889,Consumo Local,3:santanderes,15:restaurante
CERVEZAS,MONT,20000211,10003783,Consumo Local,4:cundi_boy,15:restaurante
CERVEZAS,MONT,20000211,10003887,Consumo Local,3:santanderes,15:restaurante
CERVEZAS,MONT,20000211,10003886,Consumo Local,3:santanderes,15:restaurante
CERVEZAS,MONT,20000211,10003677,Consumo Local,1:atlantico,15:restaurante
CERVEZAS,MONT,20000211,10003490,Consumo Local,1:atlantico,15:restaurante
CERVEZAS,MONT,20000211,10003686,Consumo Local,4:cundi_boy,15:restaurante
CERVEZAS,MONT,20000211,10003803,Consumo Local,8:pacifico,15:restaurante
CERVEZAS,MONT,20000211,10003858,Consumo Local,2:antioquia_choco,15:restaurante
CERVEZAS,MONT,20000211,10003860,Consumo Local,2:antioquia_choco,15:restaurante
CERVEZAS,MONT,20000211,10003690,Consumo Local,5:eje_cafetero,15:restaurante
CERVEZAS,MONT,20000211,10003698,Consumo Local,8:pacifico,15:restaurante
CERVEZAS,MONT,20000211,10003519,Consumo Local,2:antioquia_choco,15:restaurante
CERVEZAS,MONT,20000211,10003784,Consumo Local,4:cundi_boy,15:restaurante
CERVEZAS,MONT,20000211,10003696,Consumo Local,7:llanos,15:restaurante
CERVEZAS,MONT,20000211,10003701,Consumo Local,8:pacifico,15:restaurante
CERVEZAS,MONT,20000211,10003488,Consumo Local,1:atlantico,15:restaurante
CERVEZAS,MONT,20000211,10003791,Consumo Local,5:eje_cafetero,15:restaurante
CERVEZAS,MONT,20000211,10003695,Consumo Local,7:llanos,15:restaurante
CERVEZAS,MONT,20000211,10003603,Consumo Local,2:antioquia_choco,15:restaurante
CERVEZAS,MONT,20000211,10003859,Consumo Local,2:antioquia_choco,15:restaurante
CERVEZAS,MONT,20000211,10003444,Autoservicios,1:atlantico,3:minimercado
CERVEZAS,MONT,20000211,10003618,Autoservicios,6:centro,3:minimercado
CERVEZAS,MONT,20000211,10003441,Autoservicios,1:atlantico,3:minimercado
CERVEZAS,MONT,20000211,10003445,Autoservicios,1:atlantico,3:minimercado
CERVEZAS,MONT,20000211,10003447,Autoservicios,1:atlantico,3:minimercado
CERVEZAS,MONT,20000211,10003578,Autoservicios,4:cundi_boy,3:minimercado
CERVEZAS,MONT,20000211,10003470,Autoservicios,2:antioquia_choco,3:minimercado
CERVEZAS,MONT,20000211,10003649,Autoservicios,8:pacifico,3:minimercado
CERVEZAS,MONT,20000211,10003605,Autoservicios,5:eje_cafetero,3:minimercado
CERVEZAS,MONT,20000211,10003446,Autoservicios,1:atlantico,3:minimercado
CERVEZAS,MONT,20000211,10003471,Autoservicios,2:antioquia_choco,3:minimercado
CERVEZAS,MONT,20000211,10003604,Autoservicios,5:eje_cafetero,3:minimercado
CERVEZAS,MONT,20000211,10003606,Autoservicios,5:eje_cafetero,3:minimercado
CERVEZAS,MONT,20000211,10003629,Autoservicios,7:llanos,3:minimercado
CERVEZAS,MONT,20000211,10003631,Autoservicios,7:llanos,3:minimercado
CERVEZAS,MONT,20000211,10003574,Autoservicios,4:cundi_boy,3:minimercado
CERVEZAS,MONT,20000211,10003553,Autoservicios,3:santanderes,3:minimercado
CERVEZAS,MONT,20000211,10003647,Autoservicios,8:pacifico,3:minimercado
CERVEZAS,MONT,20000211,10003522,Autoservicios,2:antioquia_choco,3:minimercado
CERVEZAS,MONT,20000211,10003525,Autoservicios,2:antioquia_choco,3:minimercado
CERVEZAS,MONT,20000211,10003650,Autoservicios,8:pacifico,3:minimercado
CERVEZAS,MONT,20000211,10003524,Autoservicios,2:antioquia_choco,3:minimercado
CERVEZAS,MONT,20000211,10003669,Tradicionales,8:pacifico,6:licoreria
CERVEZAS,MONT,20000211,10003443,Autoservicios,1:atlantico,3:minimercado
CERVEZAS,MONT,20000211,10003577,Autoservicios,4:cundi_boy,3:minimercado
CERVEZAS,MONT,20000211,10003630,Autoservicios,7:llanos,3:minimercado
CERVEZAS,MONT,20000211,10003575,Autoservicios,4:cundi_boy,3:minimercado
CERVEZAS,MONT,20000211,10003551,Autoservicios,3:santanderes,3:minimercado
CERVEZAS,MONT,20000211,10003579,Autoservicios,4:cundi_boy,3:minimercado
CERVEZAS,MONT,20000211,10003576,Autoservicios,4:cundi_boy,3:minimercado
CERVEZAS,MONT,20000211,10003554,Autoservicios,3:santanderes,3:minimercado
CERVEZAS,MONT,20000211,10003648,Autoservicios,8:pacifico,3:minimercado
CERVEZAS,MONT,20000211,10003521,Autoservicios,2:antioquia_choco,3:minimercado
CERVEZAS,MONT,20000211,10003645,Autoservicios,8:pacifico,1:supermercados
CERVEZAS,MONT,20000211,10003725,Consumo Local,8:pacifico,11:bar
CERVEZAS,MONT,20000211,10003552,Autoservicios,3:santanderes,3:minimercado
CERVEZAS,MONT,20000211,10003619,Autoservicios,6:centro,3:minimercado
CERVEZAS,MONT,20000211,10003523,Autoservicios,2:antioquia_choco,3:minimercado
CERVEZAS,MONT,20000211,10003573,Autoservicios,4:cundi_boy,3:minimercado
CERVEZAS,MONT,20000211,10003442,Autoservicios,1:atlantico,3:minimercado
CERVEZAS,MONT,20000211,10003729,Consumo Local,7:llanos,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003903,Consumo Local,5:eje_cafetero,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003912,Consumo Local,2:antioquia_choco,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003914,Consumo Local,2:antioquia_choco,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003812,Consumo Local,1:atlantico,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003727,Consumo Local,4:cundi_boy,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003831,Consumo Local,2:antioquia_choco,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003830,Consumo Local,8:pacifico,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003901,Consumo Local,3:santanderes,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003891,Consumo Local,6:centro,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003841,Consumo Local,7:llanos,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003900,Consumo Local,1:atlantico,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003730,Consumo Local,7:llanos,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003825,Consumo Local,4:cundi_boy,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003846,Consumo Local,2:antioquia_choco,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003897,Consumo Local,1:atlantico,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003820,Consumo Local,4:cundi_boy,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003840,Consumo Local,4:cundi_boy,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003806,Consumo Local,8:pacifico,15:restaurante
CERVEZAS,MONT,20000211,10005726,Consumo Local,3:santanderes,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003913,Consumo Local,2:antioquia_choco,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10005735,Consumo Local,8:pacifico,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003890,Consumo Local,1:atlantico,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003731,Consumo Local,8:pacifico,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003838,Consumo Local,5:eje_cafetero,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003834,Consumo Local,2:antioquia_choco,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003844,Consumo Local,8:pacifico,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003911,Consumo Local,2:antioquia_choco,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003854,Consumo Local,2:antioquia_choco,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003895,Consumo Local,8:pacifico,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003902,Consumo Local,3:santanderes,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003652,Autoservicios,8:pacifico,3:minimercado
CERVEZAS,MONT,20000211,10003904,Consumo Local,4:cundi_boy,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003818,Consumo Local,5:eje_cafetero,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003852,Consumo Local,2:antioquia_choco,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003907,Consumo Local,4:cundi_boy,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003906,Consumo Local,4:cundi_boy,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10005727,Consumo Local,5:eje_cafetero,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003908,Consumo Local,8:pacifico,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003899,Consumo Local,1:atlantico,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003894,Consumo Local,7:llanos,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003837,Consumo Local,3:santanderes,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003915,Consumo Local,2:antioquia_choco,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003898,Consumo Local,1:atlantico,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003839,Consumo Local,6:centro,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003602,Consumo Local,5:eje_cafetero,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003808,Consumo Local,4:cundi_boy,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003896,Consumo Local,1:atlantico,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003835,Consumo Local,2:antioquia_choco,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003853,Consumo Local,2:antioquia_choco,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003910,Consumo Local,8:pacifico,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003487,Consumo Local,1:atlantico,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003905,Consumo Local,4:cundi_boy,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003829,Consumo Local,8:pacifico,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003816,Consumo Local,3:santanderes,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003776,Tradicionales,8:pacifico,4:tradicional
CERVEZAS,MONT,20000211,10003836,Consumo Local,1:atlantico,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003916,Consumo Local,3:santanderes,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003813,Consumo Local,1:atlantico,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10005734,Consumo Local,1:atlantico,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003892,Consumo Local,4:cundi_boy,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003824,Consumo Local,4:cundi_boy,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003893,Consumo Local,5:eje_cafetero,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003662,Tradicionales,8:pacifico,4:tradicional
CERVEZAS,MONT,20000211,10003823,Consumo Local,4:cundi_boy,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003809,Consumo Local,7:llanos,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003810,Consumo Local,8:pacifico,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003655,Tradicionales,8:pacifico,4:tradicional
CERVEZAS,MONT,20000211,10003531,Tradicionales,2:antioquia_choco,4:tradicional
CERVEZAS,MONT,20000211,10003532,Tradicionales,2:antioquia_choco,4:tradicional
CERVEZAS,MONT,20000211,10003740,Tradicionales,4:cundi_boy,4:tradicional
CERVEZAS,MONT,20000211,10003734,Tradicionales,3:santanderes,4:tradicional
CERVEZAS,MONT,20000211,10003754,Tradicionales,5:eje_cafetero,4:tradicional
CERVEZAS,MONT,20000211,10003757,Tradicionales,5:eje_cafetero,4:tradicional
CERVEZAS,MONT,20000211,10003866,Tradicionales,2:antioquia_choco,4:tradicional
CERVEZAS,MONT,20000211,10003867,Tradicionales,2:antioquia_choco,4:tradicional
CERVEZAS,MONT,20000211,10003872,Tradicionales,2:antioquia_choco,4:tradicional
CERVEZAS,MONT,20000211,10003608,Tradicionales,5:eje_cafetero,4:tradicional
CERVEZAS,MONT,20000211,10003507,Tradicionales,1:atlantico,4:tradicional
CERVEZAS,MONT,20000211,10003679,Tradicionales,1:atlantico,4:tradicional
CERVEZAS,MONT,20000211,10003533,Tradicionales,2:antioquia_choco,4:tradicional
CERVEZAS,MONT,20000211,10003535,Tradicionales,2:antioquia_choco,4:tradicional
CERVEZAS,MONT,20000211,10003621,Tradicionales,6:centro,4:tradicional
CERVEZAS,MONT,20000211,10003658,Tradicionales,8:pacifico,4:tradicional
CERVEZAS,MONT,20000211,10003778,Tradicionales,8:pacifico,4:tradicional
CERVEZAS,MONT,20000211,10003580,Tradicionales,4:cundi_boy,4:tradicional
CERVEZAS,MONT,20000211,10003741,Tradicionales,4:cundi_boy,4:tradicional
CERVEZAS,MONT,20000211,10003634,Tradicionales,7:llanos,4:tradicional
CERVEZAS,MONT,20000211,10003581,Tradicionales,4:cundi_boy,4:tradicional
CERVEZAS,MONT,20000211,10003609,Tradicionales,5:eje_cafetero,4:tradicional
CERVEZAS,MONT,20000211,10003526,Tradicionales,2:antioquia_choco,4:tradicional
CERVEZAS,MONT,20000211,10003559,Tradicionales,3:santanderes,4:tradicional
CERVEZAS,MONT,20000211,10003452,Tradicionales,1:atlantico,4:tradicional
CERVEZAS,MONT,20000211,10003451,Tradicionales,1:atlantico,4:tradicional
CERVEZAS,MONT,20000211,10003661,Tradicionales,8:pacifico,4:tradicional
CERVEZAS,MONT,20000211,10003670,Tradicionales,8:pacifico,6:licoreria
CERVEZAS,MONT,20000211,10003590,Tradicionales,4:cundi_boy,4:tradicional
CERVEZAS,MONT,20000211,10003536,Tradicionales,2:antioquia_choco,4:tradicional
CERVEZAS,MONT,20000211,10003558,Tradicionales,3:santanderes,4:tradicional
CERVEZAS,MONT,20000211,10003527,Tradicionales,2:antioquia_choco,4:tradicional
CERVEZAS,MONT,20000211,10003453,Tradicionales,1:atlantico,4:tradicional
CERVEZAS,MONT,20000211,10003772,Tradicionales,8:pacifico,4:tradicional
CERVEZAS,MONT,20000211,10003657,Tradicionales,8:pacifico,4:tradicional
CERVEZAS,MONT,20000211,10003755,Tradicionales,5:eje_cafetero,4:tradicional
CERVEZAS,MONT,20000211,10003874,Tradicionales,2:antioquia_choco,4:tradicional
CERVEZAS,MONT,20000211,10003529,Tradicionales,2:antioquia_choco,4:tradicional
CERVEZAS,MONT,20000211,10003556,Tradicionales,3:santanderes,4:tradicional
CERVEZAS,MONT,20000211,10092645,Consumo Local,8:pacifico,"15:restaurante,32:panaderia/cafeteria"
CERVEZAS,MONT,20000211,10003735,Tradicionales,3:santanderes,4:tradicional
CERVEZAS,MONT,20000211,10003742,Tradicionales,4:cundi_boy,4:tradicional
CERVEZAS,MONT,20000211,10003759,Tradicionales,5:eje_cafetero,4:tradicional
CERVEZAS,MONT,20000211,10003681,Tradicionales,1:atlantico,4:tradicional
CERVEZAS,MONT,20000211,10003583,Tradicionales,4:cundi_boy,4:tradicional
CERVEZAS,MONT,20000211,10003654,Tradicionales,8:pacifico,4:tradicional
CERVEZAS,MONT,20000211,10003555,Tradicionales,3:santanderes,4:tradicional
CERVEZAS,MONT,20000211,10003751,Tradicionales,4:cundi_boy,4:tradicional
CERVEZAS,MONT,20000211,10003773,Tradicionales,8:pacifico,4:tradicional
CERVEZAS,MONT,20000211,10003646,Autoservicios,8:pacifico,1:supermercados
CERVEZAS,MONT,20000211,10003726,Consumo Local,8:pacifico,11:bar
CERVEZAS,MONT,20000211,10003766,Tradicionales,7:llanos,4:tradicional
CERVEZAS,MONT,20000211,10003611,Tradicionales,5:eje_cafetero,4:tradicional
CERVEZAS,MONT,20000211,10003591,Tradicionales,4:cundi_boy,4:tradicional
CERVEZAS,MONT,20000211,10003500,Tradicionales,1:atlantico,4:tradicional
CERVEZAS,MONT,20000211,10003534,Tradicionales,2:antioquia_choco,4:tradicional
CERVEZAS,MONT,20000211,10003807,Consumo Local,8:pacifico,15:restaurante
CERVEZAS,MONT,20000211,10003736,Tradicionales,3:santanderes,4:tradicional
CERVEZAS,MONT,20000211,10003743,Tradicionales,4:cundi_boy,4:tradicional
CERVEZAS,MONT,20000211,10003582,Tradicionales,4:cundi_boy,4:tradicional
CERVEZAS,MONT,20000211,10003656,Tradicionales,8:pacifico,4:tradicional
CERVEZAS,MONT,20000211,10003750,Tradicionales,4:cundi_boy,4:tradicional
CERVEZAS,MONT,20000211,10003588,Tradicionales,4:cundi_boy,4:tradicional
CERVEZAS,MONT,20000211,10003739,Tradicionales,3:santanderes,4:tradicional
CERVEZAS,MONT,20000211,10003745,Tradicionales,4:cundi_boy,4:tradicional
CERVEZAS,MONT,20000211,10003584,Tradicionales,4:cundi_boy,4:tradicional
CERVEZAS,MONT,20000211,10003746,Tradicionales,4:cundi_boy,4:tradicional
CERVEZAS,MONT,20000211,10003756,Tradicionales,5:eje_cafetero,4:tradicional
CERVEZAS,MONT,20000211,10003765,Tradicionales,7:llanos,4:tradicional
CERVEZAS,MONT,20000211,10003873,Tradicionales,2:antioquia_choco,4:tradicional
CERVEZAS,MONT,20000211,10003877,Tradicionales,2:antioquia_choco,4:tradicional
CERVEZAS,MONT,20000211,10003505,Tradicionales,1:atlantico,4:tradicional
CERVEZAS,MONT,20000211,10003585,Tradicionales,4:cundi_boy,4:tradicional
CERVEZAS,MONT,20000211,10003498,Tradicionales,1:atlantico,4:tradicional
CERVEZAS,MONT,20000211,10003557,Tradicionales,3:santanderes,4:tradicional
CERVEZAS,MONT,20000211,10003589,Tradicionales,4:cundi_boy,4:tradicional
CERVEZAS,MONT,20000211,10003875,Tradicionales,2:antioquia_choco,4:tradicional
CERVEZAS,MONT,20000211,10003504,Tradicionales,1:atlantico,4:tradicional
CERVEZAS,MONT,20000211,10003508,Tradicionales,1:atlantico,4:tradicional
CERVEZAS,MONT,20000211,10003560,Tradicionales,3:santanderes,4:tradicional
CERVEZAS,MONT,20000211,10003450,Tradicionales,1:atlantico,4:tradicional
CERVEZAS,MONT,20000211,10003620,Tradicionales,6:centro,4:tradicional
CERVEZAS,MONT,20000211,10003704,Consumo Local,8:pacifico,15:restaurante
CERVEZAS,MONT,20000211,10003732,Tradicionales,3:santanderes,4:tradicional
CERVEZAS,MONT,20000211,10003587,Tradicionales,4:cundi_boy,4:tradicional
CERVEZAS,MONT,20000211,10003771,Tradicionales,8:pacifico,4:tradicional
CERVEZAS,MONT,20000211,10003653,Autoservicios,8:pacifico,3:minimercado
CERVEZAS,MONT,20000211,10003869,Tradicionales,2:antioquia_choco,4:tradicional
CERVEZAS,MONT,20000211,10003876,Tradicionales,2:antioquia_choco,4:tradicional
CERVEZAS,MONT,20000211,10003503,Tradicionales,1:atlantico,4:tradicional
CERVEZAS,MONT,20000211,10003528,Tradicionales,2:antioquia_choco,4:tradicional
CERVEZAS,MONT,20000211,10003449,Tradicionales,1:atlantico,4:tradicional
CERVEZAS,MONT,20000211,10003622,Tradicionales,6:centro,4:tradicional
CERVEZAS,MONT,20000211,10003767,Tradicionales,7:llanos,4:tradicional
CERVEZAS,MONT,20000211,10003633,Tradicionales,7:llanos,4:tradicional
CERVEZAS,MONT,20000211,10003635,Tradicionales,7:llanos,4:tradicional
CERVEZAS,MONT,20000211,10003870,Tradicionales,2:antioquia_choco,4:tradicional
CERVEZAS,MONT,20000211,10003871,Tradicionales,2:antioquia_choco,4:tradicional
CERVEZAS,MONT,20000211,10003495,Tradicionales,1:atlantico,4:tradicional
CERVEZAS,MONT,20000211,10003762,Tradicionales,6:centro,4:tradicional
CERVEZAS,MONT,20000211,10003909,Consumo Local,8:pacifico,32:panaderia/cafeteria
CERVEZAS,MONT,20000211,10003738,Tradicionales,3:santanderes,4:tradicional
CERVEZAS,MONT,20000211,10003753,Tradicionales,4:cundi_boy,4:tradicional
CERVEZAS,MONT,20000211,10003768,Tradicionales,8:pacifico,4:tradicional
CERVEZAS,MONT,20000211,10003607,Tradicionales,5:eje_cafetero,4:tradicional
CERVEZAS,MONT,20000211,10003747,Tradicionales,4:cundi_boy,4:tradicional
CERVEZAS,MONT,20000211,10003748,Tradicionales,4:cundi_boy,4:tradicional
CERVEZAS,MONT,20000211,10003530,Tradicionales,2:antioquia_choco,4:tradicional
